,Authors,Citations,Date,Full Text Available,Journal,Stats,Summary,Title,Journals,First Author
405,"H Hu, X Weng, D Zhuang, G Ding, Z Lai, X X",24,2016,No,Applied Thermal …,"H Hu, X Weng, D Zhuang, G Ding, Z Lai, X Xu - Applied Thermal …, 2016 - Elsevier","… In the present study, three open-cell metal foams with PPIs of 5, 10 and 15 will be used to analyze
the influence of structure parameters. In order to compare the performance between the metal
foam heat exchanger and conventional fin-and-tube heat exchanger under …",Heat transfer and pressure drop characteristics of wet air flow in metal foam under dehumidifying conditions,Applied Thermal …,H Hu
406,"CC Chen, PC Huang, HY Hwan",37,2013,No,International Journal of Heat and Mass …,"CC Chen, PC Huang, HY Hwang - International Journal of Heat and Mass …, 2013 - Elsevier","… upon lower plate of an insulated channel utilizing the high-porosity metal foams porous layer …
The properties of porous matrix of metal foam, K and F, for momentum equation are … a function
of porosity after modification to reflect the difference between the open cell represent and …",Enhanced forced convective cooling of heat sources by metal-foam porous layers,International Journal of Heat and Mass …,CC Chen
407,"NQ Zhao, B Jiang, XW Du, JJ Li, CS Shi, WX Zha",25,2006,No,Materials Letters,"NQ Zhao, B Jiang, XW Du, JJ Li, CS Shi, WX Zhao - Materials Letters, 2006 - Elsevier","… Metal foams, especially aluminum foams, are a class of materials with low densities and novel …
A space-holder method has been used for the manufacture of the open cell stochastic foams … Pores
of the resulting foam “replicate” the initial shape of these space-holder particles …",Effect of Y2O3 on the mechanical properties of open cell aluminum foams,Materials Letters,NQ Zhao
408,"AM Bayomy, MZ Saghir, T Yousef",32,2016,No,International Journal of Thermal …,"AM Bayomy, MZ Saghir, T Yousefi - International Journal of Thermal …, 2016 - Elsevier","… Zhao et al. [10] studied the thermal dissipation of high porosity metal foams, both
experimentally and analytically. They … Zhao et al. [11], [5] presented analytical studies
of forced convection through open cell metal foam. They …",Electronic cooling using water flow in aluminum metal foam heat sink: Experimental and numerical approach,International Journal of Thermal …,AM Bayomy
409,"L Santo, A Guglielmotti",11,2010,No,ASME 2010 …,"L Santo, A Guglielmotti… - ASME 2010 …, 2010 - … .asmedigitalcollection.asme.org","… in the desired shape and no forming operation was considered. In fact, apart from
compression, open-cell aluminum foams show a very poor deformation. In order to study
the metal foam formability, compression tests are typically performed …",Formability of Open-Cell Aluminum Foams by Laser,ASME 2010 …,L Santo
410,"M Iasiello, S Cunsolo",27,2014,No,Journal of …,"M Iasiello, S Cunsolo… - Journal of …, 2014 - … .asmedigitalcollection.asme.org",2,Numerical analysis of heat transfer and pressure drop in metal foams for different morphological models,Journal of …,M Iasiello
411,L Krstulov,14,2016,No,para,"L Krstulović-Opara, M Vesenjak, I Duarte, Z Ren… - Materials Today …, 2016 - Elsevier","… of metal foam phase (Figure 2). Page 3. 1027 Lovre Krstulović-Opara et al. / Materials Today:
Proceedings 3 ( 2016 ) 1025 – 1030 Fig. 2. Dynamic compression of open-cell foam with silicone
filler included. 3. Closed-cell foams Closed-cell foams can be produced by foaming of …",Infrared thermography as a method for energy absorption evaluation of metal foams,Materials Today …,
412,"S Shahbeyk, N Petrinic, A Vafa",39,2007,No,International Journal of Impact …,"S Shahbeyk, N Petrinic, A Vafai - International Journal of Impact …, 2007 - Elsevier","… Author links open overlay panelS.Shahbeyk a N.Petrinic b A.Vafai a. Show more … been suggested
for foams [3], [4], [5], [6], [7]. In addition, using an ideal cell as the … foam density, and application
of a simplified self-similar isotropic constitutive model for metal foam are addressed …",Numerical modelling of dynamically loaded metal foam-filled square columns,International Journal of Impact …,S Shahbeyk
413,"AA Shirzadi, M Kocak, ER Wallac",19,2004,No,Science and technology of …,"AA Shirzadi, M Kocak, ER Wallach - Science and technology of …, 2004 - Taylor & Franci","… Closed cell metal foams are typically suitable for structural uses whereas open cell foams tend
to be preferred … electric motor via a transmission system and was measured by a load cell under
the … to commercial 316 stainless steel (bottom) at 900uC using Cu–Ti filler metal (SEM) …",Joining stainless steel metal foams,Science and technology of …,AA Shirzadi
414,"P Pinto, N Peixinho, F Silva, D Soare",34,2014,[PDF] academia.edu,Journal of Materials Processing …,"P Pinto, N Peixinho, F Silva, D Soares - Journal of Materials Processing …, 2014 - Elsevier","… In a numerical simulation study Kou et al. (2008) proposed two types of open-cell foam
structures using uniform and dual-size base cell configurations (Fig. 1). Uniform cell
metal foams have a spherical shape and are closely compact …",Compressive properties and energy absorption of aluminum foams with modified cellular geometry,Journal of Materials Processing …,P Pinto
415,SV Ra,23,2011,[PDF] unl.edu,Materials Science and Engineering: A,"SV Raj - Materials Science and Engineering: A, 2011 - Elsevier","… Open cell Ni foam, n 4 = 17.6%; n 5 = 56.8%; n 6 = 21.8%, 13.0. (Dillard et al. [32]) … 4. Summary
and conclusions. A detailed microstructural analysis of several FeCrAlY metal foams with relative
densities varying between 3 and 15%, and linear cell densities varying …",Microstructural characterization of metal foams: An examination of the applicability of the theoretical models for modeling foams,Materials Science and Engineering: A,
416,SB Bhadur,32,1994,No,Advanced Performance Materials,"SB Bhaduri - Advanced Performance Materials, 1994 - Springer","… P/Ps = Cl(tll) 2 (4) where Ca is a constant and l is the edge length and t is the cell wall
thickness of an open cell foam … Cell shape Numt~er of Number of Number of laces,/ edges,
n v9 v Cc[| volume Surface urea Edge |un~h Comments … 1~'-~ r 1 /Metal …",Science and technology of ceramic foams,Advanced Performance Materials,
417,"Q Pang, ZY Xiu, GH Wu, LT Jiang, DL Sun",15,2012,No,Journal of Materials …,"Q Pang, ZY Xiu, GH Wu, LT Jiang, DL Sun… - Journal of Materials …, 2012 - Elsevier","… structure consisting of hollow triangular struts, shaped cells connected at nodes by continuous
solid metal ligaments in … 1(a) and (b). A single cell of the foam has the approximate shape of a …
Table 1. Geometric parameters of open-cell Ni, Ni–35.2Cr and Ni–18.8Cr–11.3Fe–7.7Al …",Synthesis and properties of open-cell Ni–Cr–Fe–Al alloy foams by pack co-deposition process,Journal of Materials …,Q Pang
418,"R Jhaver, H Tippu",78,2009,[PDF] auburn.edu,Materials Science and Engineering: A,"R Jhaver, H Tippur - Materials Science and Engineering: A, 2009 - Elsevier","… The compression response of polymer syntactic foams can be further enhanced by
infiltrating the syntactic foam into lightweight open-cell preform/scaffold made of a
stronger and tougher material such as an open-cell metal foam …","Processing, compression response and finite element modeling of syntactic foam based interpenetrating phase composite (IPC)",Materials Science and Engineering: A,R Jhaver
419,"T Braun, MN Abba",26,1982,[PDF] researchgate.net,Analytica Chimica Acta,"T Braun, MN Abbas - Analytica Chimica Acta, 1982 - Elsevier","… of the poIyether open-cell type (Greiner KG Schumstoffwerk, Kremsmiinster, Austria) and the
open- cell polyester type … solution to yield a PAN concen- tration of 1% (w/w) on the foam- Tracers …
isotopes 65Zn, '03Hg, and 1'4”In were obtained by irradiation of zinc metal, mercury(I1 …",Unloaded polyurethane foams as solid extractants for some metal thiocyanate complexes from aqueous solution,Analytica Chimica Acta,T Braun
420,"CP Stemmet, JN Jongmans, J Van der Schaaf",111,2005,No,Chemical Engineering …,"CP Stemmet, JN Jongmans, J Van der Schaaf… - Chemical Engineering …, 2005 - Elsevier","… The focus here, however, is only on the open-celled foams, more specifically in the range … and
Phanikumar and Mahajan (2002) have investigated the heat transfer properties of metal foams
to be … the use of carbon solid foams as the working electrode for an electrochemical cell …",Hydrodynamics of gas–liquid counter-current flow in solid foam packings,Chemical Engineering …,CP Stemmet
421,"E Solórzano, JA Reglero, MA Rodrígu",103,2008,[PDF] researchgate.net,érez,"E Solórzano, JA Reglero, MA Rodríguez-Pérez… - International journal of …, 2008 - Elsevier","… Most of these papers are focused on open-cell foams, and only two of them deal with closed … two
main objectives: firstly, to measure thermal conductivity of a collection of closed-cell AlSi7 foams …
ability of the TPS method to detect in-homogeneities in a given metal foam, and thus …",An experimental study on the thermal conductivity of aluminium foams by using the transient plane source method,International journal of …,E Solórzano
422,"E Afshari, M Moshar",28,2017,No,ehkordi,"E Afshari, M Mosharaf-Dehkordi, H Rajabian - Energy, 2017 - Elsevier","… [17] reviewed the application of metallic porous materials in the polymeric fuel cell, including
manufacturing process and characteristics of the metal foam … [11], [20] proposed a representative
unit cell structure (RUCS) model for the Open Pore Cellular Foams (OPCF) …",An investigation of the PEM fuel cells performance with partially restricted cathode flow channels and metal foam as a flow distributor,Energy,E Afshari
423,"M Odabaee, K Hooma",79,2012,No,Applied Thermal Engineering,"M Odabaee, K Hooman - Applied Thermal Engineering, 2012 - Elsevier","… 735-742. [15] NC Gallego, JW KlettCarbon foams for thermal management. Carbon,
41 (7) (2003), pp … Journal of Heat Transfer, 129 (3) (2007), pp. 273-281. [19] I.
GhoshHow good is open-cell metal foam as heat transfer surface …",Metal foam heat exchangers for heat transfer augmentation from a tube bank,Applied Thermal Engineering,M Odabaee
424,"P Chin, X Sun, GW Roberts, JJ Spive",68,2006,No,Applied Catalysis A: General,"P Chin, X Sun, GW Roberts, JJ Spivey - Applied Catalysis A: General, 2006 - Elsevier","… consist of irregular open cells, as seen in Fig. 1[40]. The catalytic material is deposited on the
metal “webs” via a washcoating process. Foams are characterized by their pores per inch (ppi)
and cell density (ρ). Pores per inch is the mean number of pores in the foam per linear …",Preferential oxidation of carbon monoxide with iron-promoted platinum catalysts supported on metal foams,Applied Catalysis A: General,P Chin
425,"J Randrianalisoa, D Baillis, CL Martin",27,2015,No,International Journal of …,"J Randrianalisoa, D Baillis, CL Martin… - International Journal of …, 2015 - Elsevier","… A quantitative analysis of strut geometric features of open-cell Polyester Urethane (PU) and
aluminum (Al) foams were performed by Jang … These analyses confirmed the Plateau border shape
of struts of both metal (Fig … a is a coefficient that depends only on the type of the foam …",Microstructure effects on thermal conductivity of open-cell foams generated from the Laguerre–Voronoï tessellation method,International Journal of …,J Randrianalisoa
426,O Losit,15,2008,[PDF] researchgate.net,PIERS Online,"O Losito - PIERS Online, 2008 - researchgate.net","… properties and also strong impact- absorption and vibration damping capabilities [1]. However,
new employment prospects could be determined by intensive electromagnetic analysis of metal
foams. Fig. 1, shows an example of an open cell aluminium foam, produced by ERG …",[PDF][PDF] An analytical characterizzation of metal foams for shielding applications,PIERS Online,
427,"E Linul, L Marsavina, J Kováči",25,2017,No,Materials Science and Engineering: A,"E Linul, L Marsavina, J Kováčik - Materials Science and Engineering: A, 2017 - Elsevier","… Open-cell and closed-cell cellular materials such as polyurethane [1] and metal foams [2 … CM)
of composite sandwich beams (CSB) with low density closed-cell aluminium foam … of Materials
and Machine Mechanics, Bratislava for manufacturing of metal foam matrix composites …",Collapse mechanisms of metal foam matrix composites under static and dynamic loading conditions,Materials Science and Engineering: A,E Linul
428,"F Schorghuber, F Simancik, E Hart",26,1999,No,US Patent 5,"F Schorghuber, F Simancik, E Hartl - US Patent 5,865,237, 1999 - Google Patent","… US20030131965A1 (en) *, 2001-12-14, 2003-07-17, Eric Keetman, Device and method for the
in-situ foaming of hollow profiles with metal foam … US6660224B2 (en), 2001-08-16, 2003-12-09,
National Research Council Of Canada, Method of making open cell material …",Method of producing molded bodies of a metal foam,"US Patent 5,865,237",F Schorghuber
429,"S Demiray, W Becker, J Hoh",13,2009,No,Materials Science and Engineering: A,"S Demiray, W Becker, J Hohe - Materials Science and Engineering: A, 2009 - Elsevier","… The starting point for the microstructural modelling was an open cell AlSi7Mg sponge (see Fig …
The metal foam was produced by a precision-casting technique using a precursor polyurethane
foam … microcracks emanating from the external corners of the triangular cell strut cross …",Investigation of the fatigue behavior of open cell foams by a micromechanical 3-D model,Materials Science and Engineering: A,S Demiray
430,"D Chiappini, G Bella, A Festuccia",14,2015,No,… in Computational Physics,"D Chiappini, G Bella, A Festuccia… - … in Computational Physics, 2015 - cambridge.org","… Among the different configurations of porous media, open cell metallic foams are gaining … In order
to better understand metallic foam capabilities, a random sphere generation code has been
implemented and fluid-dynamic simulations have been carried out by means of …",Direct numerical simulation of an open-cell metallic foam through Lattice Boltzmann method,,D Chiappini
431,"L Montanaro, Y Jorand, G Fantozzi, A Negr",289,1998,No,Journal of the European …,"L Montanaro, Y Jorand, G Fantozzi, A Negro - Journal of the European …, 1998 - Elsevier","… Table 1. Some characteristics of molten metal filters Tradename Composition Applications Benefits …
Many steps must be optimized to develop a foam product having the desired performances … A
variety of open-cell, semi-closed and closed-cell sponge materials are suited to …",Ceramic foams by powder processing,Journal of the European …,L Montanaro
432,"E Linul, L Marsavin",22,2011,[PDF] academia.edu,201,"E Linul, L Marsavina - 2011 - academia.edu","… 20] 2D models, where beams were considered as foam struts, the … considered, at cell level that
the behaviour is isotropic by using constant cell dimensions … Simulation was performed for open
cell polyurethane foams, considering the following cases: - Quasi-constant cell length, l …",[PDF][PDF] Prediction of fracture toughness for open cell polyurethane foams by finite-element micromechanical analysis,,E Linul
433,"C Perrot, F Chevillotte, R Panneto",75,2008,[PDF] archives-ouvertes.fr,Journal of Applied Physics,"C Perrot, F Chevillotte, R Panneton - Journal of Applied Physics, 2008 - aip.scitation.org","… Periodic unit cell reconstruction of porous media: Application to open-cell aluminum foams Camille
Perrot, Raymond Panneton, and Xavier Olny. more... Jun 2007. Influence of pore and strut shape
on open cell metal foam bulk properties Prashant Kumar, Jean-Michel Hugo …",Dynamic viscous permeability of an open-cell aluminum foam: Computations versus experiments,Journal of Applied Physics,C Perrot
434,"S Ozan, S Bilha",17,2008,No,The International Journal of Advanced Manufacturing …,"S Ozan, S Bilhan - The International Journal of Advanced Manufacturing …, 2008 - Springer","… The imbedded NaCl particles are finally dissolved in hot water, leaving behind an open cell
aluminum metal foam with the same … The foaming evaluations (pore concentrations) are based
on the weight lost (pore volume)/ volume (perform) fractions of specimens …","Effect of fabrication parameters on the pore concentration of the aluminum metal foam, manufactured by powder metallurgy process",The International Journal of Advanced Manufacturing …,S Ozan
435,"HR Seyf, M Layegh",60,2010,[PDF] researchgate.net,Journal of Heat Transfer,"HR Seyf, M Layeghi - Journal of Heat Transfer, 2010 - … .asmedigitalcollection.asme.org",2,Numerical analysis of convective heat transfer from an elliptic pin fin heat sink with and without metal foam insert,Journal of Heat Transfer,HR Seyf
436,"N Dukhan, M Al",18,2012,No,Transport in porous media,"N Dukhan, M Ali - Transport in porous media, 2012 - Springer","… As engineering materials, metal foams have been used in various applications (Zhou et al. 2002;
Ashby et al. 2000; Azzi et al. 2007). Flow characteristics and pressure drop of fluid flow in the
pores of open-cell metal foam are critical in filters, heat exchangers, catalysts and the …",Effect of confining wall on properties of gas flow through metal foam: an experimental study,Transport in porous media,N Dukhan
437,LUZSHI Shangl,19,2005,No,Mechanics and Engineering,"LUZSHI Shanglu - Mechanics and Engineering, 2005 - en.cnki.com.c","… LTD, Suzhou 215011);Mechanical Performance of Foaming Plastic in … China);Numerical modeling
of high strain compression of anisotropic elastic open-cell foams[J];Journal of … China);Numerical
simulation on compressive yielding behavior of closed-cell metal foam with low …",THEORETICAL STUDIES ON MECHANICAL MODELS OF LOW DENSITY FOAM [J],Mechanics and Engineering,
438,"E Tuncer, M Wegene",26,2004,[PDF] arxiv.org,Materials Letters,"E Tuncer, M Wegener - Materials Letters, 2004 - Elsevier","… Metal foams [17], [34], Numerical [5], Penrose network [23] … The change in the relative Young's
moduli of the films is illustrated in the figure with open symbols … The 'U'-shaped behavior of our
data could be explained by the solid materials' cell-wall thickness [7], [36] …",Elastic properties of highly anisotropic thin poly (propylene) foams,Materials Letters,E Tuncer
439,"J von Rickenbach, F Lucci, C Narayanan",18,2014,[PDF] psu.edu,International Journal of …,"J von Rickenbach, F Lucci, C Narayanan… - International Journal of …, 2014 - Elsevier","… Different approaches have been used to model ceramic foams … In this study we chose a Kelvin
cell model because it allows a good trade-off between accurate representation of an open
cell foam and readily adjustable geometrical parameters. 2.2 …",Multi-scale modelling of mass transfer limited heterogeneous reactions in open cell foams,International Journal of …,J von Rickenbach
440,"D Edouard, M Lacroix, CP Huu, F Luc",147,2008,No,Chemical Engineering Journal,"D Edouard, M Lacroix, CP Huu, F Luck - Chemical Engineering Journal, 2008 - Elsevier","… foam porosity (ɛ) which is the volume available for the fluids flow through the open-cell structure …
using the expression ɛ = 1−ρ g /ρ s , where ρ g is the foam apparent density … water picnometer
[13], He multipycnometer [8]). The ratio of mass to apparent volume of foams gives ρ …",Pressure drop modeling on SOLID foam: State-of-the art correlation,Chemical Engineering Journal,D Edouard
441,"N Michailidis, F Stergioud",36,2011,No,Materials & Design,"N Michailidis, F Stergioudi - Materials & Design, 2011 - Elsevier","… powder with respect to purity, particle size and distribution is essential for successful foaming …
raw cane sugar can be used as a new space-holder material for manufacturing open-cell metal
foams … The optimum range of compaction to achieve effective foam structures lies in the …",Establishment of process parameters for producing Al-foam by dissolution and powder sintering method,Materials & Design,N Michailidis
442,"JR Li, HF Cheng, JL Yu, FS Ha",35,2003,[PDF] hfcas.ac.cn,Materials Science and Engineering: A,"JR Li, HF Cheng, JL Yu, FS Han - Materials Science and Engineering: A, 2003 - Elsevier","… The open-cell aluminum foams are provided by the Institute of Solid State Physics, Chinese
Academy of … The relative density of aluminum foam with dual-cell size is 0.36, which contains 80%
large … In this method, melted liquid metal is first poured into a bed of compacted sodium …",Effect of dual-size cell mix on the stiffness and strength of open-cell aluminum foams,Materials Science and Engineering: A,JR Li
443,C Bett,31,2012,No,Materials Science and Technology,"C Betts - Materials Science and Technology, 2012 - Taylor & Franci","… process.8 In 1990, Joachim Baumeister brought the compacted powder foaming process
developed … cells crush – this has the implication that the integrity of a metal foam core sandwich …
Furthermore, open cell foams do not trap moisture (ie they are less susceptible to corrosion …",Benefits of metal foams and developments in modelling techniques to assess their materials behaviour: a review,Materials Science and Technology,
444,"X Zhu, S Ai, X Lu, X Ling, L Zhu, B Li",21,2014,No,… Journal of Heat and Mass Transfer,"X Zhu, S Ai, X Lu, X Ling, L Zhu, B Liu - … Journal of Heat and Mass Transfer, 2014 - Elsevier","… Michailidis [27], [28] rebuilt the geometry of Al open-cell foam by STL surface and discussed … Feng,
ZG Zhu, N. Tao, HW ZhengThermal conductivity of closed-cell aluminum alloy … 7] J.
BanhartManufacture, characterization and application of cellular metals and metal foams. Prog …",Thermal conductivity of closed-cell aluminum foam based on the 3D geometrical reconstruction,,X Zhu
445,"J Zhou, P Shrotriya, WO Soboyej",82,2004,No,Mechanics of Materials,"J Zhou, P Shrotriya, WO Soboyejo - Mechanics of Materials, 2004 - Elsevier","… However, for Duocel open-cell aluminum foams, a prior study (Zhou et al., 2002a … J.
BanhartManufacture, characterization and application of cellular metals and metal foams. Progress
in … AG EvansExperimental analysis of deformation mechanisms in a closed-cell aluminum alloy …",Mechanisms and mechanics of compressive deformation in open-cell Al foams,Mechanics of Materials,J Zhou
446,"KYG McCullough, NA Fleck, MF Ashb",74,1999,[PDF] semanticscholar.org,Acta Materialia,"KYG McCullough, NA Fleck, MF Ashby - Acta Materialia, 1999 - Elsevier","… The fracture behaviour of closed cell aluminium-based foams (trade-name “Alulight”) is
characterized for the … analysed, and the origins of the observed R-curve behaviour for metal foams
are explored … in tensile and compressive strengths due to the presence of an open hole is …",Toughness of aluminium alloy foams,Acta Materialia,KYG McCullough
447,"M Iasiello, S Cunsolo, N Bianco, WKS Chiu",11,2017,No,International Journal of …,"M Iasiello, S Cunsolo, N Bianco, WKS Chiu… - International Journal of …, 2017 - Elsevier","… Highlights. • This paper analyzes thermal developing effect in open cell metal foams. •
The geometry is generated with reference to Lord Kelvin ideal foam model. • A uniform
heat flux boundary condition is applied at the solid/fluid interface. • …",Developing thermal flow in open-cell foams,International Journal of …,M Iasiello
448,"A Bansiddhi, DC Dunan",124,2007,[PDF] northwestern.edu,Intermetallics,"A Bansiddhi, DC Dunand - Intermetallics, 2007 - Elsevier","… 16 GPa) are significantly lower than predicted from Ashby's theory for open cell, cellular foams …
for the above model, and the presence of non-load-bearing metal extrusions in … If foam H were
mechanically cycled without intermediate shape-memory recovery, the loading stiffness …",Shape-memory NiTi foams produced by solid-state replication with NaF,Intermetallics,A Bansiddhi
449,"J Chung, L Tully, JH Kim, G Jones",10,2006,[PDF] nasa.gov,42nd AIAA/ASME/SAE …,"J Chung, L Tully, JH Kim, G Jones… - 42nd AIAA/ASME/SAE …, 2006 - arc.aiaa.org","… A multi-ligament cell mesh has been developed to model the porous metal foam heat exchanger.
The metal foams used in the experiments were produced using advanced material … of thin ligaments
(0.2-0.3 mm in diameter) forming a network of interconnected open-cells …",Evaluation of open cell foam heat transfer enhancement for liquid rocket engines,42nd AIAA/ASME/SAE …,J Chung
450,"S Qiu, S Xu, F Ma, J Yan",18,2011,No,Powder technology,"S Qiu, S Xu, F Ma, J Yang - Powder technology, 2011 - Elsevier","… Open-cell foams have a sponge-like structure, typically with a pore density of 10–100 PPI (pores …
years, in order to increase the photocatalytic efficiency, many methods, such as metal doping,
have … In this study, the ceramic foam was coated by the doped TiO 2 , the photocatalytic …",The photocatalytic efficiency of the metal doped TiO2 with ceramic foam as catalyst carriers,Powder technology,S Qiu
451,ARA Hernánde,18,2005,[PDF] psu.edu,University of Puerto rico,"ARA Hernández - University of Puerto rico, Mayagüez campus, 2005 - Citeseer","… 2 Page 17. of open cell type and others in which most of the cells are closed … Pb, Au). 4.
Manufacturing of ceramic molds from a wax or polymer foam precursor … 1.3 Categorization of
metal foams Generally metal foams are categorized in two groups based on the liquid fraction …",[PDF][PDF] Combined flow and heat transfer characterization of open cell aluminum foams,"University of Puerto rico, Mayagüez campus",
452,"T Abdulla, A Yerokhin, R Goodal",12,2014,No,Scripta Materialia,"T Abdulla, A Yerokhin, R Goodall - Scripta Materialia, 2014 - Elsevier","… Open cell 99.8% aluminium foams were produced using the NaCl-based replication process,
following the method … driven Test Frame, 0038 Model H100KS, with a 10 kN load cell) at a … almost
identical thicknesses, and treatment 2 has a greater proportion of metal converted to …",Enhancement in specific strength of open cell aluminium foams through plasma electrolytic oxidation treatment,Scripta Materialia,T Abdulla
453,"T Zhang, E Maire, J Adrien, PR Onck",16,2013,No,Advanced Engineering …,"T Zhang, E Maire, J Adrien, PR Onck… - Advanced Engineering …, 2013 - Wiley Online Library","… This has been observed on ERG aluminum‐based metal open cell foams in several of these
studies (see eg16, 17). In this paper, we will use LXCRT images of ERG foam at two different
scales during an in situ tensile test to analyze the global fracture process but also the effect …",Local tomography study of the fracture of an ERG metal foam,Advanced Engineering …,T Zhang
454,"I Duarte, M Vesenjak, L Krstulov",30,2016,No,par,"I Duarte, M Vesenjak, L Krstulović-Opara - Composite Structures, 2016 - Elsevier","… The application of IR thermography has been already proved as a reliable tool in case of several
porous materials types, eg open-cell aluminium foams with and without silicone foam filler [19],
closed-cell metal foams [20], advanced pore morphology (APM) foam …",Compressive behaviour of unconstrained and constrained integral-skin closed-cell aluminium foam,Composite Structures,I Duarte
455,"A Liebscher, C Proppe, C Redenbach",17,2012,No,Probabilistic Engineering …,"A Liebscher, C Proppe, C Redenbach… - Probabilistic Engineering …, 2012 - Elsevier","… Therefore, macroscopic properties of components made of metal foams might
show a large scatter … With the help of computed tomography, statistical
characteristics of the cell geometry of open cell foams are estimated …",Uncertainty quantification for metal foam structures by means of image analysis,Probabilistic Engineering …,A Liebscher
456,"S Gaitanaros, S Kyriakides, AM Krayni",69,2012,[HTML] sciencedirect.com,International Journal of Solids …,"S Gaitanaros, S Kyriakides, AM Kraynik - International Journal of Solids …, 2012 - Elsevier","… 2. Background. 2.1. Geometry of metal foams. The foams that will be modeled are the
Al-6101-T6 ERG Duocel® open-cell foams analyzed in JKK08. A typical image of the
microstructure of such a foam generated using computed X-ray tomography is shown in Fig …",[HTML][HTML] On the crushing response of random open-cell foams,International Journal of Solids …,S Gaitanaros
457,"M Barletta, A Gisario, S Guarino",13,2009,[PDF] academia.edu,Journal of …,"M Barletta, A Gisario, S Guarino… - Journal of …, 2009 - … .asmedigitalcollection.asme.org",2,Production of open cell aluminum foams by using the dissolution and sintering process (DSP),Journal of …,M Barletta
458,"R Dyga, S Witcza",22,2012,[PDF] sciencedirect.com,Procedia Engineering,"R Dyga, S Witczak - Procedia Engineering, 2012 - Elsevier","… [2] Ozmat B, Leyda B, Benson B. Thermal applications of open cell metal foams … Jazi HR,
Mostaghimi J, Chandra S, Pershin L, Cole T. Spray-Formed, Metal-Foam Heat Exchangers … On
the performance of copper foaming metal in the heat exchangers of pulse tube refrigerator …",Investigation of effective thermal conductivity aluminum foams,Procedia Engineering,R Dyga
459,"W Zhai, X Yu, X Song, LYL Ang, F Cui, HP Lee, T L",15,2018,No,Materials & Design,"W Zhai, X Yu, X Song, LYL Ang, F Cui, HP Lee, T Li - Materials & Design, 2018 - Elsevier","… [14] reported that with rigid backing, open-cell Al foam had better … Considering only airflow resistivity,
Delany and Bazley [19] demonstrated reasonable good estimations of sound absorption
performance of metal foams using a simplified empirical model (DB model) derived …",Microstructure-based experimental and numerical investigations on the sound absorption property of open-cell metallic foams manufactured by a template replication …,Materials & Design,W Zhai
460,"MAA Mendes, P Talukdar, S Ray, D Trimi",26,2014,No,International Journal of Heat …,"MAA Mendes, P Talukdar, S Ray, D Trimis - International Journal of Heat …, 2014 - Elsevier","… unique structural properties, such as large surface area to volume ratio of metal/ceramic foams …
study, the same methodology has been applied for a few real ceramic foam structures, where …
have been used in the present study for evaluating the ETC of open-cell porous foams …",Detailed and simplified models for evaluation of effective thermal conductivity of open-cell porous foams at high temperatures in presence of thermal radiation,International Journal of Heat …,MAA Mendes
461,SA Bagsha,52,1999,[PDF] researchgate.net,Chemical Communications,"SA Bagshaw - Chemical Communications, 1999 - pubs.rsc.org","… are formed directly from tetraethoxyorthosilicate (TEOS) or TEOS plus a basic metal salt,
solubilised … water-rich film of an alkylpolyethylene oxide (PEO) based nonionic surfactant
foam.11 The … The open-cell nature of the MMSF was demonstrated by the absorption of a brightly …",Morphosynthesis of macrocellular mesoporous silicate foams,Chemical Communications,
462,"D Ruan, G Lu, LS Ong, B Wan",59,2007,No,Composites Science and Technology,"D Ruan, G Lu, LS Ong, B Wang - Composites Science and Technology, 2007 - Elsevier","… Deshpande and Fleck [4] have proposed a phenomenological yield surface for metal foams,
which is a self-similar … foams: Alporas foams (closed-cell, with relative densities of 8.4% and 16%),
Duocel foam (open-cell, with a relative density of 7%) and Alulight foams (closed-cell …",Triaxial compression of aluminium foams,Composites Science and Technology,D Ruan
463,J Banhar,152,2013,[PDF] researchgate.net,Advanced Engineering Materials,"J Banhart - Advanced Engineering Materials, 2013 - Wiley Online Library","… a high oxide content that is melted and stirred into the melt to be foamed in open air to … a) Panel
suspended by eggs.(b) The cell morphology exhibits a sub‐mm sized units with cell wall
perforations … pure Mg,101 alloy AZ91 or AZ31 (MgAlZn) foams.102, 103 Ca metal is again …",Light‐metal foams—History of innovation and technological challenges,Advanced Engineering Materials,
464,"J Tian, TJ Lu, HP Hodson, DT Queheillalt",80,2007,[PDF] semanticscholar.org,International journal of …,"J Tian, TJ Lu, HP Hodson, DT Queheillalt… - International journal of …, 2007 - Elsevier","… a brazing alloy in the case of the copper cores or a transient liquid phase (TLP) alloy in the case
of the stainless steel cores, creating the cellular metal core … 10) K cell = Δ P cell ρ U m 2 / 2 = Δ
P L · d p · 1 ρ U m 2 / 2 = 1 - R open R open 2. with d p = t = 2d is the unit cell length …",Cross flow heat exchange of textile cellular metal core sandwich panels,International journal of …,J Tian
465,DD Wal,78,1976,No,US Patent 3,"DD Walz - US Patent 3,946,039, 1976 - Google Patent","… After the wax had been drained and any windows blown open with warm air, the polyurethane
was … mold is pressurized in a bell jar, the pressure in the jar controlling the foam cell size … carried
out with minor modifications in casting a wide variety of metals and metal alloys such …",Reticulated foam structure,"US Patent 3,946,039",
